Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
34,"R Elshawi, M Maher, S Sakr","Automated machine learning: State-of-the-art and open challenges",2019,"arXiv preprint arXiv:1906.02287","arxiv.org","https://arxiv.org/abs/1906.02287","https://scholar.google.com/scholar?cites=2224942947407097545&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-02-09 14:33:32","","","","",,,,,34,17.00,11,3,2,"With the continuous and vast increase in the amount of data in our digital world, it has been acknowledged that the number of knowledgeable data scientists can not scale to address these challenges. Thus, there was a crucial need for automating the process of building …"
22,"L Tuggener, M Amirian, K Rombach…","Automated machine learning in practice: state of the art and recent results",2019,"2019 6th Swiss …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8789865/","https://scholar.google.com/scholar?cites=8602742233225858110&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-02-09 14:33:32","","","","",,,,,22,11.00,6,4,2,"A main driver behind the digitization of industry and society is the belief that data-driven model building and decision making can contribute to higher degrees of automation and more informed decisions. Building such models from data often involves the application of …"
344,"F Hutter, L Kotthoff, J Vanschoren","Automated machine learning: methods, systems, challenges",2019,"","library.oapen.org","https://library.oapen.org/handle/20.500.12657/23012","https://scholar.google.com/scholar?cites=616231254490898804&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-02-09 14:33:32","BOOK","","","",,,,,344,172.00,115,3,2,"… The field of automated machine learning (AutoML) aims to make these decisions in a data-driven, objective, and automated way: the … Thereby, AutoML makes state-of-the-art machine learning approaches accessible to domain scientists who are interested in applying machine …"
49,"N Fusi, R Sheth, M Elibol","Probabilistic matrix factorization for automated machine learning",2018,"… of the 32nd International Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/3327144.3327254","https://scholar.google.com/scholar?cites=6902330776298089199&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-02-09 14:33:32","","","","",,,,,49,16.33,16,3,3,"… to be very effective in practice and sometimes identify better hyperparameters than human experts, leading to state-of-the-art performance in … The most successful attempt to do so for automated machine learning problems (ie in very high-dimensional and structured parameter …"
1035,"M Feurer, A Klein, K Eggensperger…","Auto-sklearn: efficient and robust automated machine learning",2019,"Automated Machine …","library.oapen.org","https://library.oapen.org/bitstream/handle/20.500.12657/23012/1007149.pdf?sequence=1#page=119","https://scholar.google.com/scholar?cites=10979386680435778240&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-02-09 14:33:32","PDF","","","",,,,,1035,517.50,259,4,2,"… that the resulting Auto-sklearn system outperforms previous state-of-the-art AutoML methods (Sect. 6.5), to show that each of our contributions leads to substantial performance improvements Page 121. 6 Auto-sklearn: Efficient and Robust Automated Machine Learning 115 (Sect …"
25,"M Feurer, A Klein, K Eggensperger…","Auto-sklearn: efficient and robust automated machine learning",2018,"Automated Machine …","automl.org","https://www.automl.org/wp-content/uploads/2018/12/auto-sklearn-1.pdf","https://scholar.google.com/scholar?cites=6852711508431315663&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-02-09 14:33:32","PDF","","","",,,,,25,8.33,6,4,3,"… Recent work has started to tackle this automated machine learning (AutoML) problem with the help of efficient Bayesian optimization methods … our comprehensive analysis on over 100 di- verse datasets shows that it substantially outperforms the previous state of the art in AutoML …"
47,"M Feurer, K Eggensperger, S Falkner…","Practical automated machine learning for the automl challenge 2018",2018,"… on Automatic Machine …","icme2017.org","http://icme2017.org/papers/data/1407/18-AUTOML-AutoChallenge.pdf","https://scholar.google.com/scholar?cites=11808322944990758307&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-02-09 14:33:32","PDF","","","",,,,,47,15.67,12,4,3,"… The current state-of-the-art in AutoML has been evaluated in the AutoML challenge 2018 … Keywords: automated machine learning, Bayesian optimization, successive halving, hy- perparameter tuning, competitions, meta-learning 1. Introduction …"
78,"F Mohr, M Wever, E Hüllermeier","ML-Plan: Automated machine learning via hierarchical planning",2018,"Machine Learning","Springer","https://link.springer.com/article/10.1007/s10994-018-5735-z","https://scholar.google.com/scholar?cites=10066941744569910907&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-02-09 14:33:32","HTML","","","",,,,,78,26.00,26,3,3,"… 2014). This has triggered the field of automated machine learning (AutoML). State-of-the-art AutoML tools have shown impressive results (Thornton et al. 2013; Komer et al. 2014; Feurer et al. 2015) but still leave room for improvement …"
74,"AM Alaa, T Bolton, E Di Angelantonio, JHF Rudd…","Cardiovascular disease risk prediction using automated machine learning: A prospective study of 423,604 UK Biobank participants",2019,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0213653","https://scholar.google.com/scholar?cites=1751971630192144362&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-02-09 14:33:32","HTML","","","",,,,,74,37.00,15,5,2,"… We tested (1) whether ML techniques based on a state-of-the-art automated ML framework (AutoPrognosis) could improve CVD risk … Angelantonio E, Rudd JHF, van der Schaar M (2019) Cardiovascular disease risk prediction using automated machine learning: A prospective …"
7,"SCN das Dôres, C Soares…","Bandit-based automated machine learning",2018,"2018 7th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8575600/","https://scholar.google.com/scholar?cites=1129867777392930016&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-02-09 14:33:32","","","","",,,,,7,2.33,2,3,3,"… Automated Machine Learning (AutoML) is the field of ML that aims to address these needs through the development of solutions which enable … approach against Auto ML Bayesian Optimization methods show that this new approach is superior to the state-of-the-art methods in …"
