Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
17,"N Fusi, R Sheth, HM Elibol","Probabilistic matrix factorization for automated machine learning",2017,"arXiv preprint arXiv:1705.05355","arxiv.org","https://arxiv.org/abs/1705.05355","https://scholar.google.com/scholar?cites=16980178957416214350&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-02-09 14:31:30","","","","",,,,,17,4.25,6,3,4,"… pipeline space. Through exten- sive experiments, we show that our method significantly out- performs the current state-of-the-art in automated machine learning in the vast majority of datasets we considered. 2. Related work …"
43,"SL Dixon, J Duan, E Smith, CD Von Bargen…","AutoQSAR: an automated machine learning tool for best-practice quantitative structure–activity relationship modeling",2016,"Future medicinal …","Future Science","https://www.future-science.com/doi/abs/10.4155/fmc-2016-0093","https://scholar.google.com/scholar?cites=1249356397096325152&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-02-09 14:31:30","","","","",,,,,43,8.60,9,5,5,"… Future Medicinal ChemistryVol. 8, No. 15 Research Article. AutoQSAR: an automated machine learning tool for best-practice quantitative structure–activity relationship modeling …"
156,"BR Avasarala, JC Day, D Steiner","System and method for automated machine-learning, zero-day malware detection",2016,"US Patent 9,292,688","Google Patents","https://patents.google.com/patent/US9292688B2/en","https://scholar.google.com/scholar?cites=8026449418512651892&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-02-09 14:31:30","","","","",,,,,156,31.20,52,3,5,"… Moreover, with the current state of the art it is hard to incorporate features corresponding to new attributes … Embodiments of the improved system and method for automated machine-learning, zero-day malware detection also include an EFVG overcome these issues …"
137,"RS Olson, W La Cava, Z Mustahsan…","Data-driven advice for applying machine learning to bioinformatics problems",2017,"arXiv preprint arXiv …","World Scientific","https://www.worldscientific.com/doi/abs/10.1142/9789813235533_0018","https://scholar.google.com/scholar?cites=13869029982152324343&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-02-09 14:31:30","","","","",,,,,137,34.25,34,4,4,"… Here we contribute a thorough analysis of 13 state-of-the-art, commonly used machine learning algorithms on a set of 165 publicly available classification problems in order to provide data-driven algorithm recommendations to current researchers …"
23,"M Wistuba, N Schilling, L Schmidt-Thieme","Automatic Frankensteining: Creating complex ensembles autonomously",2017,"Proceedings of the 2017 SIAM …","SIAM","https://epubs.siam.org/doi/abs/10.1137/1.9781611974973.83","https://scholar.google.com/scholar?cites=3766060407826106973&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-02-09 14:31:30","","","","",,,,,23,5.75,8,3,4,"… We compare our ap- proach Automatic Frankensteining with the current state of the art for automated machine learning on 80 different data sets and can show that it outperforms them on the major- ity using the same training time …"
172,"S Narula, K Shameer, AM Salem Omar…","Machine-learning algorithms to automate morphological and functional assessments in 2D echocardiography",2016,"Journal of the American …","jacc.org","https://www.jacc.org/doi/abs/10.1016/j.jacc.2016.08.062","https://scholar.google.com/scholar?cites=9357504568590278264&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-02-09 14:31:30","","","","",,,,,172,34.40,43,4,5,"… Automated machine-learning systems may aid in the interpretation of a high volume of cardiac ultrasound images, reduce variability, and improve diagnostic accuracy, particularly for novice users with limited experience (2). This investigation, therefore, explored the …"
5,"I Gemp, G Theocharous, M Ghavamzadeh","Automated data cleansing through meta-learning",2017,"Proceedings of the Thirty …","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/3297863.3297886","https://scholar.google.com/scholar?cites=7551740534803882443&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-02-09 14:31:30","","","","",,,,,5,1.25,2,3,4,"… state of the art meta-learning methodologies and identify the inadequacies and research challenges for solving such a problem. References. Feurer, M.; Klein, A.; Eggensperger, K.; Springenberg, J.; Blum, M.; and Hutter, F. 2015. Efficient and robust automated machine learning …"
277,"A Klein, S Falkner, S Bartels…","Fast bayesian optimization of machine learning hyperparameters on large datasets",2017,"Artificial Intelligence …","proceedings.mlr.press","http://proceedings.mlr.press/v54/klein17a.html","https://scholar.google.com/scholar?cites=18163669838272297817&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-02-09 14:31:30","","","","",,,,,277,69.25,69,4,4,"… Experiments optimizing support vector machines and deep neural networks show that FABOLAS often finds high-quality solutions 10 to 100 times faster than other state-of-the-art Bayesian opti- mization methods or the recently proposed bandit strategy Hyperband …"
14,"A Sohn, RS Olson, JH Moore","Toward the automated analysis of complex diseases in genome-wide association studies using genetic programming",2017,"Proceedings of the genetic and …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3071178.3071212","https://scholar.google.com/scholar?cites=3738690593185243231&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-02-09 14:31:30","","","","",,,,,14,3.50,5,3,4,"… As such, although they are related techniques, they do not fall into the automated machine learning domain … A erwards, we describe the datasets used to evaluate TPOT-MDR and compare it to the state-of-the-art machine learning methods …"
240,"RS Olson, N Bartley, RJ Urbanowicz…","Evaluation of a tree-based pipeline optimization tool for automating data science",2016,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2908812.2908918","https://scholar.google.com/scholar?cites=10541041355790250009&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-02-09 14:31:30","","","","",,,,,240,48.00,60,4,5,"… The first control, Random Forest, is a random forest with 500 decision trees, which is meant to represent a basic machine learning analysis with a state-of-the-art model … [4] M. Feurer et al. Efficient and robust automated machine learning …"
